data_captura,dt_referencia,data,periodo,classe,segmento_investidor,tipo_metodologia,metrica,prazo,valor
2026-06-03,2026-04-30,2026/04/30,04/2026,Ações,PRIVATE,Resgate Dados Consolidados,EWMA_97,2,0.0016
2026-06-03,2026-04-30,2026/04/30,04/2026,Multimercados,OUTROS,Captação Líquida Dados Consolidados,media_simples,21,0.0291
2026-06-03,2026-04-30,2026/04/30,04/2026,Multimercados,PJ,Captação Líquida Dados Consolidados,media_simples,4,0.0111
2026-06-03,2026-04-30,2026/04/30,04/2026,Multimercados,PRIVATE,Captação Líquida Dados Consolidados,media_simples,5,0.0057
2026-06-03,2026-04-30,2026/04/30,04/2026,RF DI,EFPC,Resgate Dados Consolidados,EWMA_97,42,0.3641
2026-06-03,2026-04-30,2026/04/30,04/2026,Renda Fixa,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_94,3,0.0192
2026-06-03,2026-04-30,2026/04/30,04/2026,Renda Fixa,PJ,Captação Líquida Dados Consolidados,EWMA_97,5,0.0183
2026-06-03,2026-04-30,2026/04/30,04/2026,Renda Fixa,PRIVATE,Resgate Dados Consolidados,media_simples,63,0.1002
2026-06-03,2026-04-30,2026/04/30,04/2026,Renda Fixa Crédito,PRIVATE,Resgate Dados Consolidados,EWMA_97,10,0.0158
2026-06-03,2026-04-30,2026/04/30,04/2026,Ações,EFPC,Captação Líquida Dados Consolidados,media_simples,2,0.0019
2026-06-03,2026-04-30,2026/04/30,04/2026,Ações,EFPC,Captação Líquida Dados Consolidados,media_simples,126,0.1435
2026-06-03,2026-04-30,2026/04/30,04/2026,Cambial,VAREJO,Captação Líquida Dados Consolidados,EWMA_94,10,0.0187
2026-06-03,2026-04-30,2026/04/30,04/2026,Multimercados,VAREJO,Resgate Dados Consolidados,EWMA_97,63,0.1011
2026-06-03,2026-04-30,2026/04/30,04/2026,RF DI,INSTITUCIONAIS,Captação Líquida Dados Consolidados,EWMA_94,5,0.0125
2026-06-03,2026-04-30,2026/04/30,04/2026,RF DI,VAREJO,Captação Líquida Dados Consolidados,EWMA_94,1,0.0014
2026-06-03,2026-04-30,2026/04/30,04/2026,Cambial,PRIVATE,Captação Líquida Dados Consolidados,media_simples,10,0.1001
2026-06-03,2026-04-30,2026/04/30,04/2026,Cambial,VAREJO,Resgate Dados Consolidados,EWMA_94,63,0.1578
