data_captura,data_referencia,departamento,secao_1,secao_2,secao_3,tipo_documento,data_documento,detalhe,BANCO CENTRAL DO BRASIL - BACEN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2026-06-03,2026-04-01,DEPARTAMENTO DE MONITORAMENTO DO SISTEMA FINANCEIRO - DESIG,,,,,,,,,,,,,
2026-06-03,2026-04-01,DIVISÃO DE INFRAESTRUTURA E CONTROLE OPERACIONAL DO MONITORAMENTO - DIACO,,,,,,,,,,,,,
2026-06-03,2026-04-01,,,,,,,,,,,,,,
2026-06-03,2026-04-01,CONGLOMERADOS PRUDENCIAIS*,,,,,,,,,,,,,
2026-06-03,2026-04-01,"* a partir da data-base janeiro/2023 será disponibilizado os participantes dos conglomerado prudenciais (Resolução 4.950/2021), em substituição ao conglomerado financeiro.",,,,,,,,,,,,,
2026-06-03,2026-04-01,Posição: 30.4.2026,,,,,,,,,,,,,
2026-06-03,2026-04-01,,,,,,,,,,,,,,
2026-06-03,2026-04-01,,,,,,,,,,,,,,
2026-06-03,2026-04-01,NOME DO CONGLOMERADO,CLASSE DO CONGLOMERADO,CNPJ PARTICIPANTE,NOME DO PARTICIPANTE,TIPO PARTICIPAÇÃO,DATA INÍCIO,UF,,,,,,,
2026-06-03,2026-04-01,99PAY IP - PRUDENCIAL,Privado Nacional,24313102,99PAY INSTITUICAO DE PAGAMENTO S.A.,LIDER,2024-07-10 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,99PAY IP - PRUDENCIAL,Privado Nacional,59379565,99PAY SOCIEDADE DE CRÉDITO DIRETO S.A.,PARTICIPANTE,2024-11-27 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,28195667,BANCO ABC BRASIL S.A.,LIDER,2014-01-02 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,71995385,ABC BRASIL ADMINISTRACAO E PARTICIPACOES LTDA.,PARTICIPANTE,2014-01-02 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,61020479,ABC BRASIL BENEFICIOS CORRETORA DE SEGUROS LTDA,PARTICIPANTE,2025-06-30 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,29198324,ABC BRASIL COMERCIALIZADORA DE ENERGIA LTDA.,PARTICIPANTE,2020-04-30 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,42564769,ABC BRASIL CORRETORA DE SEGUROS LTDA,PARTICIPANTE,2021-07-02 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,33817677,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,PARTICIPANTE,2014-01-02 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,50832590,ABC BRASIL INVESTMENT BANKING LTDA,PARTICIPANTE,2023-06-01 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,51377488,ABC DCM LTDA,PARTICIPANTE,2023-08-01 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,51393235,ABC HOLDING FINANCEIRA LTDA,PARTICIPANTE,2023-08-01 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,45880936,ABC I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,PARTICIPANTE,2023-01-01 00:00:00,,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,51419715,ABC M&A E ECM LTDA,PARTICIPANTE,2023-08-01 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,,APOEMA FUND LTD,PARTICIPANTE,2024-05-01 00:00:00,,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,61306033,BAHREIN I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,PARTICIPANTE,2026-03-01 00:00:00,,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,51954021,BARAUNA FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA,PARTICIPANTE,2023-09-01 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ABC-BRASIL - PRUDENCIAL,Privado Nacional com Controle Estrangeiro,50951259,VISIO GESTORA DE CREDITOS LTDA.,PARTICIPANTE,2023-06-06 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ACCREDITO SCD - PRUDENCIAL,Privado Nacional,37715993,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.,LIDER,2020-07-06 00:00:00,SP,,,,,,,
2026-06-03,2026-04-01,ACCREDITO SCD - PRUDENCIAL,Privado Nacional,60300116,ACCRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,PARTICIPANTE,2026-02-02 00:00:00,,,,,,,,
2026-06-03,2026-04-01,AF DO ESTADO DE SC S.A. - PRUDENCIAL,Público Federal,82937293,AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC,LIDER/HOLDING,2014-01-02 00:00:00,SC,,,,,,,
2026-06-03,2026-04-01,AF DO ESTADO DE SC S.A. - PRUDENCIAL,Público Federal,06004049,BB POLO 42 FUNDO DE INVESTIMENTO EM RENDA FIXA LONGO PRAZO CRÉDITO PRIVADO,PARTICIPANTE,2019-04-01 00:00:00,RJ,,,,,,,
2026-06-03,2026-04-01,AF PARANÁ - PRUDENCIAL,Público Estadual,03584906,AGÊNCIA DE FOMENTO DO PARANÁ S.A.,LIDER/HOLDING,2014-01-02 00:00:00,PR,,,,,,,
2026-06-03,2026-04-01,AF PARANÁ - PRUDENCIAL,Público Estadual,11451197,BB URANO 4 FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA RESPONSABILIDADE LIMITADA,PARTICIPANTE,2020-09-01 00:00:00,RJ,,,,,,,
2026-06-03,2026-04-01,AF PARANÁ - PRUDENCIAL,Público Estadual,10735666,FUNDO DE INVESTIMENTO CAIXA AFPR RENDA FIXA,PARTICIPANTE,2020-09-01 00:00:00,,,,,,,,
2026-06-03,2026-04-01,AF PARANÁ - PRUDENCIAL,Público Estadual,60127189,PARANÁ FIDC DO SEGMENTO AGRONEGÓCIO - RESPONSABILIDADE LIMITADA,PARTICIPANTE,2025-06-01 00:00:00,,,,,,,,
